location,count
"Geysers, CA",769
"Salcha, Alaska",402
"Cobb, CA",389
"Pāhala, Hawaii",305
"Toyah, Texas",254
"Volcano, Hawaii",228
"Karluk, Alaska",213
"West Yellowstone, Montana",192
"Whites City, New Mexico",185
"Indian Springs, Nevada",148
"Reno, Nevada",144
"Pedro Bay, Alaska",130
"Denali National Park, Alaska",111
"Petersville, Alaska",110
"Adak, Alaska",104
"Borrego Springs, CA",95
"Anza, CA",92
"Cantwell, Alaska",77
"Skwentna, Alaska",74
"Beatty, Nevada",65
"Yakutat, Alaska",65
"Mentone, Texas",64
"Anamizu, Japan",63
"Idyllwild, CA",61
"Little Lake, CA",59
"Searles Valley, CA",58
"Ocotillo Wells, CA",53
"Milford, Utah",48
"False Pass, Alaska",48
"Aykol, China",48
